runId,scrapedAt,source,productLineName,productLineId,productId,productName,cleanName,setName,setCode,setId,rarity,cardNumber,cardType,sealed,releaseDate,productUrl,imageUrl,thumbnailUrl,marketPrice,lowestPrice,lowestPriceWithShipping,medianPrice,listingsCount,availability,currency,lowestListingCondition,lowestListingPrinting,lowestListingLanguage,lowestListingSellerName,lowestListingQuantity,lowestListingPrice,lowestListingShippingPrice,lowestListingPriceWithShipping
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42346,Alakazam,Alakazam,Base Set,BS,604,Holo Rare,001/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42346/pokemon-base-set-alakazam,https://tcgplayer-cdn.tcgplayer.com/product/42346_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42346_200w.jpg,69.51,14.52,14.95,,248,Available,USD,Near Mint,Holofoil,English,Tall Grass Grabs,1,385,3.99,388.99
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42347,Mewtwo,Mewtwo,Base Set,BS,604,Holo Rare,010/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42347/pokemon-base-set-mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/42347_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42347_200w.jpg,77.54,9.02,10.01,,306,Available,USD,Damaged,Holofoil,English,Scry & Draw Games,1,9.02,1.31,10.33
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42348,Lightning Energy,Lightning Energy,Base Set,BS,604,Common,100/102,Energy,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42348/pokemon-base-set-lightning-energy,https://tcgplayer-cdn.tcgplayer.com/product/42348_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42348_200w.jpg,0.54,0.02,0.02,0.54,752,Available,USD,Damaged,Normal,English,B & I's Bulk Box,5,0.1,1.49,1.59
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42349,Psychic Energy,Psychic Energy,Base Set,BS,604,Common,101/102,Energy,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42349/pokemon-base-set-psychic-energy,https://tcgplayer-cdn.tcgplayer.com/product/42349_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42349_200w.jpg,0.77,0.05,0.05,0.65,878,Available,USD,Near Mint,Normal,English,The Wasteland Gaming,11,0.99,3.99,4.98
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42350,Water Energy,Water Energy,Base Set,BS,604,Common,102/102,Energy,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42350/pokemon-base-set-water-energy,https://tcgplayer-cdn.tcgplayer.com/product/42350_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42350_200w.jpg,0.48,0.01,0.04,0.46,1063,Available,USD,Lightly Played,Normal,English,Atomic Hobby Shop,37,0.4,3.99,4.39
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42351,Nidoking,Nidoking,Base Set,BS,604,Holo Rare,011/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42351/pokemon-base-set-nidoking,https://tcgplayer-cdn.tcgplayer.com/product/42351_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42351_200w.jpg,39.94,8.5,8.79,,291,Available,USD,Near Mint,Holofoil,English,Izzis Gym SF,1,329.98,3.99,333.97
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42352,Ninetales,Ninetales,Base Set,BS,604,Holo Rare,012/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42352/pokemon-base-set-ninetales,https://tcgplayer-cdn.tcgplayer.com/product/42352_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42352_200w.jpg,33.93,4.77,5.56,,355,Available,USD,Near Mint,Holofoil,English,Izzis Gym SF,2,70.3,3.99,74.29
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42353,Poliwrath,Poliwrath,Base Set,BS,604,Holo Rare,013/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42353/pokemon-base-set-poliwrath,https://tcgplayer-cdn.tcgplayer.com/product/42353_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42353_200w.jpg,35.19,4.68,6,,299,Available,USD,Near Mint,Holofoil,English,pdcards,2,249.99,3.99,253.98
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42354,Raichu,Raichu,Base Set,BS,604,Holo Rare,014/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42354/pokemon-base-set-raichu,https://tcgplayer-cdn.tcgplayer.com/product/42354_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42354_200w.jpg,76.52,19.59,19.99,,149,Available,USD,Heavily Played,Holofoil,English,Sunday Gaming,1,19.99,0,19.99
2026-09-03T09-23-42-672Z,2026-09-03T09:23:42.672Z,tcgplayer-search-api,Pokemon,3,42355,Venusaur,Venusaur,Base Set,BS,604,Holo Rare,015/102,Pokemon,false,1999-01-09T00:00:00Z,https://www.tcgplayer.com/product/42355/pokemon-base-set-venusaur,https://tcgplayer-cdn.tcgplayer.com/product/42355_in_1000x1000.jpg,https://tcgplayer-cdn.tcgplayer.com/product/42355_200w.jpg,182.36,38,38,,201,Available,USD,Lightly Played,Holofoil,English,pdcards,2,273.58,3.99,277.57
